Country,Average proportion of class-time teachers report spending on actual teaching and learning,Average proportion of class-time teachers report spending on administrative tasks such as marking attendance,Average proportion of class-time teachers report spending on classroom management,Average proportion of time principals report spending on administrative tasks and meetings,Average proportion of time principals report spending on leadership tasks and meetings,Female principals,Female teachers,Novice teachers who have an assigned mentor at the current school,Principals aged 60 and above,Principals for whom instructional leadership training or course were included in their formal education or training before and after taking up position as principal,Principals for whom instructional leadership training or course were included in their formal education or training before taking up position as principal,Principals for whom school administration or principal training programme or course elements were never included in their formal education or training,Principals for whom school administration or principal training programme or course were included in their formal education or training before and after taking up position as principal,Principals for whom school administration or principal training programme or course were included in their formal education or training before taking up position as principal,Principals reporting a shortage of teachers with competence in teaching students with special needs,Principals reporting shortage or inadequacy of digital technology for instruction,Principals reporting that intimidation or bullying among students occurred at least weekly in their school,Principals who 'agree' or 'strongly agree' that the teaching profession is valued in society,Principals who are satisfied with the salary they receive for their work,"Principals who are, all in all, satisfied with their job",Principals who have never received any instructional leadership training,Principals who participated in at least one professional development activity in the 12 months prior to the survey,"Principals who report that teachers have significant responsibility for the majority of tasks concerning school policies, instruction and curriculum","Principals who, apart from their salary, are satisfied with the terms of their teaching contract/employment",Principals' average age,Principals' average work experience as a principal,Teachers age 50 or less wanting to leave teaching within the next five years,Teachers aged 50 and above,Teachers employed on a fixed-term contract (one school year or less),Teachers employed on a permanent contract,Teachers for whom 'student behaviour and classroom management' was included in their formal education or training,Teachers for whom 'teaching in a multicultural or multilingual setting' was included in their formal education or training,Teachers for whom content pedagogy and classroom practice in some or all subjects taught were included in their initial formal education or training,Teachers for whom teaching was their first choice as a career,Teachers for whom the 'teaching in a mixed-ability setting' was included in their formal education or training,Teachers for whom the 'use of ICT for teaching' was included in their formal education or training,Teachers reporting a high level of need for professional development in ICT skills for teaching,Teachers reporting a high level of need for professional development in student behaviour and classroom management,Teachers reporting a high level of need for professional development in teaching in a multicultural or multilingual setting,Teachers reporting a high level of need for professional development in teaching students with special needs,Teachers teaching in classes with more than 10% of special needs students,Teachers teaching in classes with more than 10% of students whose first language is different from the language of instruction,Teachers who 'agree' or 'strongly agree' that teachers and students usually get on well with each other,Teachers who 'agree' or 'strongly agree' that the teaching profession is valued in society,Teachers who 'agree' or 'strongly agree' that their school provides staff with opportunities to actively participate in school decisions,Teachers who 'agree' or 'strongly agree' that there is a collaborative school culture that is characterised by mutual support,Teachers who 'agree' or 'strongly agree' that they have control over determining course content,Teachers who 'agree' or 'strongly agree' that they lose quite a lot of time because of students interrupting the lessons,Teachers who 'frequently' or 'always' let students use ICT  for projects or class work,Teachers who are satisfied with the salary they receive for their work,"Teachers who are, all in all, satisfied with their job",Teachers who believe they can help their students to think critically,Teachers who believe they can help their students to value learning,Teachers who did not take part in formal or informal induction activities at the current school,Teachers who feel professional development activities in the 12 months prior to the survey had a positive impact on their teaching practices,Teachers who feel that they can control disruptive behaviour in the classroom,Teachers who feel they can cope with the challenges of a multicultural classroom 'quite a bit' or 'a lot' in teaching a culturally diverse class,Teachers who felt 'well prepared' or 'very well prepared' for student behaviour and classroom management,Teachers who felt 'well prepared' or 'very well prepared' for teaching in a mixed-ability setting,Teachers who felt 'well prepared' or 'very well prepared' for teaching in a multicultural or multilingual setting,Teachers who felt 'well prepared' or 'very well prepared' for the use of ICT for teaching,Teachers who participated in a network of teachers formed specifically for the professional development of teachers in the 12 months prior to the survey,Teachers who participated in peer and/or self-observation and coaching as part of a formal school arrangement in the 12 months prior to the survey,"Teachers who received feedback at some point, based on at least four different methods",Teachers who report engaging in team-teaching at least once a month,Teachers who report experiencing  'a lot' of stress in their work,Teachers who report participating in collaborative professional learning in their school at least once a month,Teachers who report that influencing the development of children and young people was of 'moderate importance' or 'high importance' in deciding to become a teacher,Teachers who report that providing a contribution to society was of 'moderate importance' or 'high importance' in deciding to become a teacher,Teachers who report that the feedback they received in the 12 months prior to the survey had a positive impact on their teaching practice,Teachers who report that they have never received feedback in their school,Teachers who report that too much administrative work is a source of stress 'quite a bit' or 'a lot',Teachers who report to 'frequently' or 'always' give tasks that require students to think critically,Teachers who report to 'frequently' or 'always' present tasks for which there is no obvious solution,Teachers who undertook professional development in the last 12 months,Teachers who would like to change to another school if that were possible,"Teachers who, apart from their salary, are satisfied with the terms of their teaching contract/employment",Teachers whose principals report that their teachers are never formally appraised,Teachers' average age,Teachers' average work experience as a teacher,PISA Score
Argentina,76.6,7.7,15.6,19.9,19.7,60.7,68.5,6.3,6.2,26.2,21.7,20.5,16.1,36.6,18.3,38.7,4.6,12.2,34,95.1,34.1,99.2,55.9,55.3,52,7.8,7.5,36.2,4.3,72.4,66.1,34.8,81.5,52.7,56.5,52.9,19.6,9.1,24.9,36,3.5,8.9,97.1,8.6,62.7,86.7,85.4,35,64,20.2,96.1,94,89.4,76,92.3,90.1,70.1,65.2,51,33.6,49.8,22.4,33.6,28.9,22.5,8.2,15.3,86.2,91.5,76.6,13.9,18.9,81.3,60.3,92.4,12.1,65.2,3.8,43.9,16,401.5031088
Australia,77.6,7.6,14.5,28.5,21.1,50.4,62.1,36.7,17.2,26.5,26.9,13.2,23.5,29.1,31.1,26.9,13.2,41.9,46.4,95.4,16.6,98.9,37.6,65.5,51.4,9.7,12.7,29.9,9.7,85.8,83.6,58.7,82.5,58.1,74.3,64.7,11.4,5.4,7.2,11.5,29.1,27.1,97.4,44.7,67.1,76.2,73.3,29,78.2,67,90,80.8,83.4,28.3,91.7,82.4,70.5,45.2,38.3,27.1,39.3,61.2,69.7,59.5,23.4,24.3,39,96,92.6,76.9,2.8,55.4,69.5,29.2,99.3,25.4,78,5.2,42.1,15.2,502.6317244
Austria,76.6,9.1,13.9,34.6,17.4,49.9,70.5,10.8,30.5,26.5,26.9,13.2,23.5,29.1,13.6,17.8,15,26.3,53.7,97.9,16.6,99.6,70.4,76.5,55.2,8.1,3.7,43.8,20.4,74.7,53.9,30.8,86.8,65.9,51.9,40.5,15.5,16.8,13.8,16,23.2,41.7,96.7,16.1,82.7,82.7,81.3,26.6,32.9,69.9,96.5,83.5,88.8,76.6,79.6,87.6,73.8,21.1,26.8,15.1,19.9,22.3,30.7,40.5,63,12.2,13.3,95.6,87.1,62.8,7.8,48,47.2,12.4,98.7,10.2,85,10.8,44.9,18.2,484.3925685
Belgium,72.4,9.9,17.4,32,22.5,43.6,69.5,24.9,7.3,19.8,29.2,10.4,21.1,24.8,55.6,29,35.6,29.2,39.8,91.4,17.3,99.2,34.8,45.4,49.1,7.1,8.2,21.9,16.6,78,73.4,31.4,79.6,68.3,66.3,51.1,17.6,9.7,9.3,18.3,51.5,35.4,96.1,16.3,68.4,76.2,81.6,42.1,28.9,64.6,89.2,78.1,76.4,56.9,69.2,85,80.9,37.4,37.3,15.7,27.9,41,25.4,35.4,20.8,22.2,3.9,95.5,86.3,51.7,11.1,65.3,43.7,30.9,94.2,14.5,70.5,4.2,39.6,15.4,492.8644386
Brazil,67.4,11.3,18.8,20.9,17.6,76.5,69,32.6,9.9,24.2,29.5,13.2,19.1,36.5,59.6,59,28.3,22.3,36.7,92,16.9,94.5,22,67.9,46.5,8.1,13.4,23.3,12.1,79.5,75,41.7,83.4,65.5,72.6,64.4,27,18.6,44,58.4,10.5,4.3,93.5,11.4,78.6,79,94.3,50.1,41.6,17.9,87.4,95.6,95.5,61,81.6,91.4,81.1,83.1,70.7,43.9,64.2,26.4,26,67.4,20,13.6,26.7,95.4,97.2,77.4,9.4,38.5,84.2,48.9,87.1,12.6,52.6,10.4,42,15.8,412.8733167
Bulgaria,83.8,5.8,10.4,32.9,19,72.9,79.5,17.8,16,11.3,9,13.7,18.4,13.6,17.7,25.6,25.6,30.9,34.5,96.5,28.7,100,36.8,55.1,53.1,13,22,51,7.8,86.5,50.4,26.5,90,71.9,42.5,57.6,22.6,21.8,21.2,27.2,8.4,40.2,95.9,17.7,89,77.8,69.5,32.3,44.2,29.5,92.4,83.2,94.3,61.7,70.5,84.9,82.5,46.3,37.3,25.8,49.8,32.2,45.7,77.2,8.1,22.3,19.9,94.5,92.3,72.6,1.9,57.5,60.6,19.7,95.9,18.7,72.9,7.9,48.9,21.6,419.844006
Canada,80.6,6.5,12.9,33,16.8,29.7,63.5,24.7,19.3,31.1,17.1,31.8,26.5,30,13.6,12.1,12.5,78.4,60.8,98.9,29.1,99.3,20.9,80,51,13.3,7.2,20.4,19.7,75.1,87.3,62.8,79.6,67.6,76.7,70.5,8.4,4.1,9.6,11.5,31.8,44.6,97.7,62.7,81.4,82.5,65.4,26.3,65.7,76.1,92.7,87.2,82.2,55,91.4,87.2,66.6,56.4,44.3,38.4,42.1,63.4,40.7,54.8,22.2,26.3,29.2,98.8,94.7,78.9,3.8,29.3,76,31.8,98.7,22.9,83,17.4,40.2,13.1,520.0855209
Chile,70,11.6,17.5,22.6,21.7,49.6,64.6,7.4,19.6,33.7,30.6,14,28.2,41.4,26.6,13.3,3.7,28,63.7,98,11.8,99,26,77,52.8,10.1,15.3,26.9,21.9,61.9,76,42.1,83.7,66.2,76.3,77.3,16.7,16.9,33.8,38.3,54.8,4.8,95.5,14.6,58.9,70.5,90.7,39.9,63.4,37.9,93.8,87.9,87.4,66.3,76.5,86.3,57.1,65.5,68.4,37.5,67.5,20.2,37.6,55.8,28.5,19.9,24.2,96.7,97.8,66.2,6.6,53,70,57.7,86.9,24.9,54.3,3.7,40.6,13.5,452.2725541
Colombia,75.2,9.9,13.1,33.3,17.7,37.1,55.4,21.6,33.3,42.1,19.2,15.5,24.9,20.1,68,63.9,15.2,62.9,54.2,100,12.2,96.3,32.1,87.7,53.3,13.1,5.3,34.3,17.1,75.9,83.9,47.4,84.1,67.3,70,74.7,33.8,20.5,45.4,54.8,8.6,4.8,96,40.2,79.4,76,88.3,22.4,70.8,35.6,95.8,97.7,98.2,46.2,89.4,97.5,90.1,77.3,53.5,29.8,58.6,30.2,37.3,74.2,27.7,13.8,19.4,98.2,98.8,82.6,5.6,49,87.5,61.9,90.8,24.6,83,0,44.3,17.3,412.2950857
Croatia,82.5,7.7,9.1,28.9,19.4,52.6,78.2,13.4,17.5,7.5,3.4,58.1,3.3,1.4,24.7,25.2,3.8,8.5,42.2,95,48.1,100,37.5,48.7,51.6,9.7,12.6,24.3,3.5,90.9,54.5,24.6,84.3,66.7,46.6,47.3,26.2,22.9,14.3,36.3,9.8,8.4,94.8,9.2,80.9,79.2,82.8,17.3,46.2,25,90.6,74.4,47.3,44.9,85.6,81.9,81.2,38.2,28.3,19.9,36.2,46.7,32.5,32.9,1.8,7.4,7.7,95.3,91.3,76.7,5.4,59.9,60.4,34.2,98.1,16.2,51,4.2,42.1,14.7,478.9891524
Czech Republic,83.6,7,8.9,39.6,21.5,52.4,76.4,25.9,20,14.2,17.7,4.5,17.1,23.3,30,23.5,2.9,24.5,36.2,96.3,37.4,100,71.6,72.9,53.1,12.2,12.1,37.1,11.3,82.1,53.9,16.4,62.4,68,33.9,44.5,13,16.7,6.5,14.6,24.3,3.4,96,16,83.3,86.9,92.6,17.7,35.4,28,89.6,65.2,56.2,42.5,78.4,83.4,65.2,30,18.4,9.7,27.7,23.6,44.8,73.8,7.1,10.6,23,92.6,89,72.5,0.9,61,39.8,10.6,97.3,10.4,74.8,0.5,45.1,18.1,490.218815
Denmark,82.1,7.5,10.3,28.3,26.5,35.4,60.1,15,18.5,30,25,26.3,18.9,27.1,33,12.7,4.6,42.4,56.2,97.5,11.1,98.4,59.3,67.4,51.3,9.2,19.9,32.7,2.4,96.8,62.8,36.8,87.6,61.9,66.6,46.7,11.2,5.6,10.7,18.7,33.4,20.6,98.6,18.5,75.1,85,93.6,22,90.4,68,89.2,92.5,96.3,63,70.9,96.7,84.9,52.7,44.9,26.3,39.5,35.7,31.4,31.7,36.1,14.5,12.5,94.2,75.7,58.8,14.5,50.1,61.1,50.8,92.4,9.6,37.2,8.1,44.4,15.4,501.1299338
Estonia,85.5,5.3,7.8,25.6,27.3,56.6,83.8,17.4,20.9,42.7,17.4,3.6,29,30.1,47,11.9,12,40.2,43.6,93.8,7.9,100,83.3,87.5,53.2,14,27.4,53.7,10,85.4,78.7,27.8,81.3,64.6,51.4,53.9,19.2,16.7,10.5,26.5,14.1,12.7,97.4,26.4,87.4,84.2,92.9,17.5,45.6,39.1,94.2,82.4,91.1,69,76.5,80.6,70.3,44.3,24.4,15.7,29.7,58.5,51.8,65.3,21.5,17.9,19.4,87.5,81.8,71.5,5.5,30.3,46.2,16.4,97.7,13.5,82.1,1,49.1,22.7,523.0170184
Finland,79.9,6.2,13.6,33.2,24.3,46.5,69.8,9.7,10.5,24.2,23.9,0,12.6,75.5,14.8,20.4,29.4,78.7,67.3,92.2,17.5,98.8,55.4,64.1,50.4,11.7,11.2,35.3,16.8,78.1,71.3,28.9,87.4,59.3,72.6,55.6,19,8.6,6.9,12.4,25.7,15.5,96.7,58.2,77.3,79.1,82.6,31.9,50.7,45.3,88,75.4,79.4,42.6,78.6,82.6,68.5,29.3,34.8,13.9,21.5,33.9,14.2,13.1,34.4,14.2,8.5,82.7,65.6,56.9,39.9,32.8,37.2,34.5,92.7,20.4,72.1,40.8,44.8,16,520.0787483
